Date & Time (EST),Candle Open,Candle Close,Close RSI,Bull Entry,Bull P&L,Bear Entry,Bear P&L
2025-02-25 09:35:00 EST,5982.73,5988.08,,,,,
2025-02-25 09:40:00 EST,5988.12,5990.48,,,,,
2025-02-25 09:45:00 EST,5990.05,5977.13,,,,,
2025-02-25 09:50:00 EST,5977.20,5972.39,,,,,
2025-02-25 09:55:00 EST,5972.35,5957.03,,,,,
2025-02-25 10:00:00 EST,5957.19,5964.46,,,,,
2025-02-25 10:05:00 EST,5965.05,5948.78,,,,,
2025-02-25 10:10:00 EST,5948.67,5950.21,,,,,
2025-02-25 10:15:00 EST,5949.93,5938.39,,,,,
2025-02-25 10:20:00 EST,5938.32,5929.30,13.8499,,,,
2025-02-25 10:25:00 EST,5929.01,5925.21,13.1081,,,,
2025-02-25 10:30:00 EST,5925.24,5920.60,12.2744,,,,
2025-02-25 10:35:00 EST,5920.78,5923.84,16.4747,,,,
2025-02-25 10:40:00 EST,5924.19,5935.36,29.9002,,,,
2025-02-25 10:45:00 EST,5935.34,5935.30,29.8721,,,,
2025-02-25 10:50:00 EST,5935.22,5935.93,30.6430,,,,
2025-02-25 10:55:00 EST,5936.28,5944.51,40.6404,,,,
2025-02-25 11:00:00 EST,5944.46,5936.33,35.1986,,,,
2025-02-25 11:05:00 EST,5936.47,5926.94,30.0094,Bull Entry,28.98,,
2025-02-25 11:10:00 EST,5927.00,5929.96,33.5538,,,,
2025-02-25 11:15:00 EST,5930.05,5932.70,36.8195,,,,
2025-02-25 11:20:00 EST,5932.53,5930.81,35.4668,,,,
2025-02-25 11:25:00 EST,5930.54,5930.16,34.9698,,,,
2025-02-25 11:30:00 EST,5930.16,5921.56,28.9339,Bull Entry,34.36,,
2025-02-25 11:35:00 EST,5921.44,5919.56,27.6838,Bull Entry,36.36,,
2025-02-25 11:40:00 EST,5919.25,5925.13,36.3061,,,,
2025-02-25 11:45:00 EST,5924.99,5923.72,35.1138,,,,
2025-02-25 11:50:00 EST,5923.52,5934.16,49.0509,,,,
2025-02-25 11:55:00 EST,5934.28,5937.67,52.8791,,,,
2025-02-25 12:00:00 EST,5937.62,5945.52,60.3709,,,,
2025-02-25 12:05:00 EST,5945.19,5940.75,54.4527,,,,
2025-02-25 12:10:00 EST,5940.61,5939.86,53.3548,,,,
2025-02-25 12:15:00 EST,5939.92,5940.53,54.1379,,,,
2025-02-25 12:20:00 EST,5940.43,5940.35,53.8646,,,,
2025-02-25 12:25:00 EST,5940.33,5941.30,55.2073,,,,
2025-02-25 12:30:00 EST,5941.42,5949.69,65.2545,,,,
2025-02-25 12:35:00 EST,5949.78,5950.96,66.5329,,,,
2025-02-25 12:40:00 EST,5951.00,5953.56,69.1473,,,,
2025-02-25 12:45:00 EST,5953.51,5954.61,70.2047,,,,
2025-02-25 12:50:00 EST,5954.63,5953.86,68.3230,,,,
2025-02-25 12:55:00 EST,5953.75,5956.65,71.5179,,,,
2025-02-25 13:00:00 EST,5956.74,5960.87,75.6901,,,,
2025-02-25 13:05:00 EST,5960.86,5968.14,81.0656,,,,
2025-02-25 13:10:00 EST,5968.24,5970.72,82.6016,,,,
2025-02-25 13:15:00 EST,5970.67,5963.22,65.2826,,,,
2025-02-25 13:20:00 EST,5963.00,5959.58,58.5767,,,,
2025-02-25 13:25:00 EST,5959.57,5963.35,63.0046,,,,
2025-02-25 13:30:00 EST,5963.40,5950.54,44.7282,,,,
2025-02-25 13:35:00 EST,5950.60,5954.31,49.5715,,,,
2025-02-25 13:40:00 EST,5954.29,5969.30,63.7717,,,,
2025-02-25 13:45:00 EST,5969.24,5969.58,63.9849,,,,
2025-02-25 13:50:00 EST,5969.67,5968.68,62.6521,,,,
2025-02-25 13:55:00 EST,5968.81,5964.24,56.1601,,,,
2025-02-25 14:00:00 EST,5964.25,5960.79,51.4955,,,,
